Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Picture Perfect (sit)","Picture Perfect Boulder > Stonehenge Boulders > Stonehenge and Fry Boulders > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/106090961/picture-perfect-sit,3.0,-1,Boulder,V5,1,15,33.9861,-116.15981
"Finger Fetish","Hoi Polloi Boulder > Stonehenge Boulders > Stonehenge and Fry Boulders > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/109866498/finger-fetish,2.9,-1,Boulder,V8,1,20,33.98601,-116.15936
"Fry Problem","Fry Boulder > Fry Boulders > Stonehenge and Fry Boulders > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/106039374/fry-problem,3.7,-1,Boulder,V2,1,15,33.98831,-116.15795
"Spud Fry","Fry Boulder > Fry Boulders > Stonehenge and Fry Boulders > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/119127772/spud-fry,3.0,-1,Boulder,V3,1,15,33.98831,-116.15795
Alexandria,"The Rosetta Stone > Loveland Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/105722161/alexandria,3.9,-1,Boulder,V6,1,20,34.02582,-116.04886
Psyche,"Xenolithic Boulder > Loveland Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/105722866/psyche,4.0,-1,Boulder,V4,1,20,34.01707,-116.04227
"Streetcar Named Desire","Streetcar Boulder > Gunsmoke Area > Barker Dam Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/105722911/streetcar-named-desire,3.7,-1,Boulder,V6-7,1,13,34.02758,-116.14483
"The Chube","Chube Boulder > Gunsmoke Area > Barker Dam Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/105724441/the-chube,3.4,-1,Boulder,V2,1,15,34.02838,-116.14524
"Iron Resolution","Iron Resolution Block > Gunsmoke Area > Barker Dam Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/106104512/iron-resolution,3.5,-1,Boulder,V12+,1,25,34.02783,-116.14452
Gunsmoke,"Gunsmoke Wall > Gunsmoke Area > Barker Dam Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/105722350/gunsmoke,3.7,-1,Boulder,V3,1,80,34.02858,-116.14508
"High Noon","Gunsmoke Wall > Gunsmoke Area > Barker Dam Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/105722908/high-noon,3.4,-1,Boulder,V5,1,16,34.02858,-116.14508
"Shanghai Noon","Gunsmoke Wall > Gunsmoke Area > Barker Dam Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/106104520/shanghai-noon,2.9,-1,Boulder,V6,1,15,34.02858,-116.14508
"Sex Magician","Alisters Cave > Barker Dam Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/106149980/sex-magician,3.7,-1,Boulder,V7,1,,34.0317,-116.1499
"Diary of a Dope Fiend","Alisters Cave > Barker Dam Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/107455255/diary-of-a-dope-fiend,3.8,-1,Boulder,V8,1,25,34.0317,-116.1499
"New Wave","Indian Wave Boulder > Indian Wave Boulders > Barker Dam Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/106345773/new-wave,3.0,-1,Boulder,V5,1,20,34.02608,-116.14135
"Native Arete","Native Arete Boulder > Indian Wave Boulders > Barker Dam Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/106345888/native-arete,3.0,-1,Boulder,V0,1,12,34.02648,-116.14181
"Native Arete SDS","Native Arete Boulder > Indian Wave Boulders > Barker Dam Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/106345895/native-arete-sds,3.0,-1,Boulder,V1,1,12,34.02648,-116.14181
"Lost and Found","Lost and Found Corridor > Barker Dam Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/109925904/lost-and-found,3.0,-1,Boulder,"V8 PG13",1,18,34.02611,-116.14462
JBMFP,"JBMF Boulder > JBMF Boulders > Roadside Rocks Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/105725464/jbmfp,3.9,-1,Boulder,V5,1,16,34.0152,-116.16631
"Yabo Roof","Yabo Roof Area > JBMF Boulders > Roadside Rocks Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/106039628/yabo-roof,2.9,-1,Boulder,V3,1,6,34.01468,-116.1658
"Yabo Roof Traverse","Yabo Roof Area > JBMF Boulders > Roadside Rocks Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/106662633/yabo-roof-traverse,2.9,-1,Boulder,V6,1,,34.01468,-116.1658
"False Up 20","False Up 20 Boulder > JBMF Boulders > Roadside Rocks Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/105725461/false-up-20,3.6,-1,Boulder,V0-,1,20,34.01513,-116.16605
"Western Roll (sit)","Texas Boulder > Roadside Rocks Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/106073439/western-roll-sit,2.9,-1,Boulder,V5,1,12,34.0181,-116.1698
"Penguins in Bondage","Penguins Boulder > Jimmy Cliff Area > Lost Horse Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/106669160/penguins-in-bondage,3.0,-1,Boulder,V4,1,20,34.01229,-116.17935
"Sloper Safari","Meadows Boulder > Hall of Horrors Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/106329025/sloper-safari,3.2,-1,Boulder,V4,1,10,33.99418,-116.14301
"Meadows Direct","Meadows Boulder > Hall of Horrors Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/106708072/meadows-direct,3.2,-1,Boulder,V6,1,15,33.99418,-116.14301
"Alien Arete","Alien Arete Boulder > Hall of Horrors Area > Hall of Horrors Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/108539246/alien-arete,4.0,-1,Boulder,"V5 R",1,22,34.00036,-116.1457
"Lynn Hill Memorial Face Problem","Lynn Hill Memorial Boulder > King Dome Area > Hall of Horrors Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/106118096/lynn-hill-memorial-face-problem,3.6,-1,Boulder,V4,1,20,34.00377,-116.14932
