Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Atari Dream","7. Vulture Lookout West > East Bluff South Face > East Bluff > Devil's Lake Bouldering > Devil's Lake > Wisconsin",https://www.mountainproject.com/route/112887531/atari-dream,4.0,-1,Boulder,"V0 PG13",1,,43.41278,-89.70451
Freebie,"7. Vulture Lookout West > East Bluff South Face > East Bluff > Devil's Lake Bouldering > Devil's Lake > Wisconsin",https://www.mountainproject.com/route/113337152/freebie,3.0,-1,Boulder,V1,1,,43.41278,-89.70451
"Emperor Penguin","7. Vulture Lookout West > East Bluff South Face > East Bluff > Devil's Lake Bouldering > Devil's Lake > Wisconsin",https://www.mountainproject.com/route/115319349/emperor-penguin,3.5,-1,Boulder,"V2 R",1,,43.41278,-89.70451
"Bald Eagle","7. Vulture Lookout West > East Bluff South Face > East Bluff > Devil's Lake Bouldering > Devil's Lake > Wisconsin",https://www.mountainproject.com/route/114300462/bald-eagle,3.0,-1,Boulder,"V4 PG13",1,,43.41278,-89.70451
Carrion,"7. Vulture Lookout West > East Bluff South Face > East Bluff > Devil's Lake Bouldering > Devil's Lake > Wisconsin",https://www.mountainproject.com/route/114300506/carrion,3.1,-1,Boulder,V4,1,,43.41278,-89.70451
Overgrown,"7. Vulture Lookout West > East Bluff South Face > East Bluff > Devil's Lake Bouldering > Devil's Lake > Wisconsin",https://www.mountainproject.com/route/114538397/overgrown,3.0,-1,Boulder,V4,1,,43.41278,-89.70451
Carcass,"7. Vulture Lookout West > East Bluff South Face > East Bluff > Devil's Lake Bouldering > Devil's Lake > Wisconsin",https://www.mountainproject.com/route/114301373/carcass,4.0,-1,Boulder,V4,1,15,43.41278,-89.70451
"The Verdant Wilds","7. Vulture Lookout West > East Bluff South Face > East Bluff > Devil's Lake Bouldering > Devil's Lake > Wisconsin",https://www.mountainproject.com/route/114538264/the-verdant-wilds,4.0,-1,Boulder,V5,1,,43.41278,-89.70451
Murder,"7. Vulture Lookout West > East Bluff South Face > East Bluff > Devil's Lake Bouldering > Devil's Lake > Wisconsin",https://www.mountainproject.com/route/114301403/murder,4.0,-1,Boulder,"V5 PG13",1,20,43.41278,-89.70451
"Electric Sky","7. Vulture Lookout West > East Bluff South Face > East Bluff > Devil's Lake Bouldering > Devil's Lake > Wisconsin",https://www.mountainproject.com/route/114300166/electric-sky,3.7,-1,Boulder,"V6 PG13",1,,43.41278,-89.70451
