Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Jigsaw Puzzle","The Maze > East Spur > Hueco Tanks > Texas",https://www.mountainproject.com/route/105810776/jigsaw-puzzle,3.4,-1,Boulder,V5,1,,31.9108,-106.0372
"Jingus Bells","The Maze > East Spur > Hueco Tanks > Texas",https://www.mountainproject.com/route/106100314/jingus-bells,3.8,-1,Boulder,V5,1,,31.9108,-106.0372
"Slim Pickins","The Maze > East Spur > Hueco Tanks > Texas",https://www.mountainproject.com/route/105810786/slim-pickins,3.8,-1,Boulder,V5,1,,31.9108,-106.0372
Javalina,"The Maze > East Spur > Hueco Tanks > Texas",https://www.mountainproject.com/route/106369393/javalina,3.7,-1,Boulder,V8,1,25,31.9108,-106.0372
"Better Eat Your Wheaties","The Maze > East Spur > Hueco Tanks > Texas",https://www.mountainproject.com/route/105810780/better-eat-your-wheaties,3.4,-1,Boulder,V9,1,,31.9108,-106.0372
"Crown of Aragorn","The Maze > East Spur > Hueco Tanks > Texas",https://www.mountainproject.com/route/105812847/crown-of-aragorn,3.0,-1,Boulder,V13,1,,31.9108,-106.0372
"The Vulgarian","The Gunks > East Spur > Hueco Tanks > Texas",https://www.mountainproject.com/route/106101183/the-vulgarian,3.4,-1,Boulder,V2,1,,31.9108,-106.0372
"Fight or Flight","The Gunks > East Spur > Hueco Tanks > Texas",https://www.mountainproject.com/route/107405661/fight-or-flight,3.3,-1,Boulder,V4,1,17,31.9108,-106.0372
"The Hunger Artist aka Alf in a Blender","The Gunks > East Spur > Hueco Tanks > Texas",https://www.mountainproject.com/route/106101168/the-hunger-artist-aka-alf-in-a-blender,3.3,-1,Boulder,V6,1,,31.9108,-106.0372
"The Cornerstone AKA: Dean's Corner","The Gunks > East Spur > Hueco Tanks > Texas",https://www.mountainproject.com/route/106370255/the-cornerstone-aka-deans-corner,4.0,-1,Boulder,V6,1,25,31.9108,-106.0372
"New Religion","The Gunks > East Spur > Hueco Tanks > Texas",https://www.mountainproject.com/route/106101052/new-religion,3.5,-1,Boulder,V7,1,,31.9108,-106.0372
"Bush League","The Gunks > East Spur > Hueco Tanks > Texas",https://www.mountainproject.com/route/107505490/bush-league,3.5,-1,Boulder,V8,1,15,31.9108,-106.0372
"Bad Religion","The Gunks > East Spur > Hueco Tanks > Texas",https://www.mountainproject.com/route/110648492/bad-religion,3.6,-1,Boulder,V8,1,,31.9108,-106.0372
"The Handcuff Trick","Back of the Maze > East Spur > Hueco Tanks > Texas",https://www.mountainproject.com/route/116836505/the-handcuff-trick,3.7,-1,Boulder,"V0- PG13",1,,31.9123,-106.0394
"Purple Flowers (Les Fleurs Pourpes)","Back of the Maze > East Spur > Hueco Tanks > Texas",https://www.mountainproject.com/route/106686745/purple-flowers-les-fleurs-pourpes,3.1,-1,Boulder,"V9- PG13",1,,31.9123,-106.0394
"Glas Roof","Back of the Maze > East Spur > Hueco Tanks > Texas",https://www.mountainproject.com/route/106369823/glas-roof,3.0,-1,Boulder,V9,1,15,31.9123,-106.0394
"The Egg","Back of the Maze > East Spur > Hueco Tanks > Texas",https://www.mountainproject.com/route/106369839/the-egg,3.9,-1,Boulder,V9,1,15,31.9123,-106.0394
"Flower Power","Back of the Maze > East Spur > Hueco Tanks > Texas",https://www.mountainproject.com/route/106369874/flower-power,4.0,-1,Boulder,V10-11,1,25,31.9123,-106.0394
"That Hi-Pro Glow","Stableboy Rock and Vicinity > East Spur > Hueco Tanks > Texas",https://www.mountainproject.com/route/107405674/that-hi-pro-glow,3.5,-1,"Sport, Boulder",V6,1,12,31.913,-106.038
"Mr Serious","Stableboy Rock and Vicinity > East Spur > Hueco Tanks > Texas",https://www.mountainproject.com/route/106536335/mr-serious,3.1,-1,Boulder,V8,1,12,31.913,-106.038
"The French Tickler","Stableboy Rock and Vicinity > East Spur > Hueco Tanks > Texas",https://www.mountainproject.com/route/106686751/the-french-tickler,4.0,-1,Boulder,"V9 PG13",1,15,31.913,-106.038
"Smokin Sausage","The Sausage Factory > East Spur > Hueco Tanks > Texas",https://www.mountainproject.com/route/110037821/smokin-sausage,2.9,-1,Boulder,V4,1,,31.9108,-106.0372
"The Long Haul","The Sausage Factory > East Spur > Hueco Tanks > Texas",https://www.mountainproject.com/route/106686762/the-long-haul,2.9,-1,Boulder,V8,1,10,31.9108,-106.0372
