Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
Jaws,"From Russia With Love > Lower Bond Boulders > The Bond Boulders > ** Bouldering in Icicle Creek > Icicle Creek > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/119095032/jaws,3.0,-1,Boulder,V6,1,,47.55,-120.69672
"License to Kill","Moonraker > Lower Bond Boulders > The Bond Boulders > ** Bouldering in Icicle Creek > Icicle Creek > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/118697073/license-to-kill,4.0,-1,Boulder,V6,1,14,47.55007,-120.69668
"Sean Connery","Moonraker > Lower Bond Boulders > The Bond Boulders > ** Bouldering in Icicle Creek > Icicle Creek > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/118697111/sean-connery,4.0,-1,Boulder,V6,1,,47.55007,-120.69668
"Millenium Traverse","The Millennium Boulder > Lonely Fish > ** Bouldering in Icicle Creek > Icicle Creek > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/118095880/millenium-traverse,3.0,-1,Boulder,V8,1,15,47.54418,-120.74122
"Unnamed #5","Big Triangle > Lonely Fish > ** Bouldering in Icicle Creek > Icicle Creek > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/118095910/unnamed-5,4.0,-1,Boulder,V5,1,15,47.54197,-120.72761
"Lonely Fish","Lonely Fish boulder > Lonely Fish > ** Bouldering in Icicle Creek > Icicle Creek > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/118095899/lonely-fish,4.0,-1,Boulder,V8-9,1,15,47.53994,-120.70929
"Ocho's Problem","Ocho's Boulder > Bulge Boulders > ** Bouldering in Icicle Creek > Icicle Creek > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/111708577/ochos-problem,3.5,-1,Boulder,V5,1,14,47.54944,-120.75594
"The Rainmaker","Ocho's Boulder > Bulge Boulders > ** Bouldering in Icicle Creek > Icicle Creek > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/111708544/the-rainmaker,3.5,-1,Boulder,V8,1,12,47.54944,-120.75594
"Johnny's Bulge","Johnny's Bulge > Bulge Boulders > ** Bouldering in Icicle Creek > Icicle Creek > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/118601117/johnnys-bulge,3.0,-1,Boulder,V7,1,,47.54987,-120.75694
Is,"WAS > Straightaway Boulders > ** Bouldering in Icicle Creek > Icicle Creek > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/108183565/is,3.1,-1,Boulder,V7,1,,47.54186,-120.72751
WAS,"WAS > Straightaway Boulders > ** Bouldering in Icicle Creek > Icicle Creek > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/106288745/was,4.0,-1,Boulder,V8,1,,47.54186,-120.72751
Taller,"Answer Man > Straightaway Boulders > ** Bouldering in Icicle Creek > Icicle Creek > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/113685049/taller,3.5,-1,Boulder,V6,1,,47.54186,-120.72751
"The Icehouse","The Icehouse > Straightaway Boulders > ** Bouldering in Icicle Creek > Icicle Creek > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/114128239/the-icehouse,3.5,-1,Boulder,V4,1,15,47.54186,-120.72751
"Ice Grip","The Icehouse > Straightaway Boulders > ** Bouldering in Icicle Creek > Icicle Creek > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/117527031/ice-grip,3.0,-1,Boulder,V4-5,1,14,47.54186,-120.72751
"Tall Boy","The Icehouse > Straightaway Boulders > ** Bouldering in Icicle Creek > Icicle Creek > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/117739487/tall-boy,3.0,-1,Boulder,V5,1,,47.54186,-120.72751
"Tampax Arete","The Cotton Pony > Straightaway Boulders > ** Bouldering in Icicle Creek > Icicle Creek > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/117739810/tampax-arete,3.0,-1,Boulder,V3,1,,47.54658,-120.74937
"The Cotton Pony","The Cotton Pony > Straightaway Boulders > ** Bouldering in Icicle Creek > Icicle Creek > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/118095935/the-cotton-pony,4.0,-1,Boulder,V10,1,10,47.54658,-120.74937
"Forget Your Rubbers","Alphabet Wall Boulders > Straightaway Boulders > ** Bouldering in Icicle Creek > Icicle Creek > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/118734011/forget-your-rubbers,3.2,-1,Boulder,V0,1,,47.54431,-120.7435
"Miracle Whip","Whip Boulder > Icicle Buttress Boulders > ** Bouldering in Icicle Creek > Icicle Creek > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/111211972/miracle-whip,3.0,-1,Boulder,V7,1,,47.54186,-120.72751
"Grandview Arete","Grandview Boulder > ** Bouldering in Icicle Creek > Icicle Creek > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/118981416/grandview-arete,3.0,-1,Boulder,V4-5,1,15,47.59004,-120.80422
Unknown,"Grandview Boulder > ** Bouldering in Icicle Creek > Icicle Creek > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/118981493/unknown,3.0,-1,Boulder,V5-6,1,12,47.59004,-120.80422
"Right Angles","JY Crag > Eight Mile Area > Icicle Creek > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/106317079/right-angles,3.0,-1,Boulder,V8,1,12,47.5526,-120.7635
