Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Another traverse project","Nature Nazi Boulders > Indian Rock Side > * Castle Rock Area Bouldering > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/117882260/another-traverse-project,3.0,-1,Boulder,V6,1,,37.23108,-122.09482
"Nature Nazi Traverse (Yabo)","Nature Nazi Boulders > Indian Rock Side > * Castle Rock Area Bouldering > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/117328558/nature-nazi-traverse-yabo,3.4,-1,Boulder,V6,1,,37.23108,-122.09482
"Nature Nazi Arete","Nature Nazi Boulders > Indian Rock Side > * Castle Rock Area Bouldering > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/107082720/nature-nazi-arete,3.6,-1,Boulder,V6-7,1,,37.23108,-122.09482
"Sloper traverse","Nature Nazi Boulders > Indian Rock Side > * Castle Rock Area Bouldering > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/117874594/sloper-traverse,3.0,-1,Boulder,V7+,1,,37.23108,-122.09482
"Avery Power Pull","Nature Nazi Boulders > Indian Rock Side > * Castle Rock Area Bouldering > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/111770456/avery-power-pull,3.5,-1,Boulder,V8,1,,37.23108,-122.09482
"Santa Cruz Dude","Lower Indian Rock > Indian Rock Side > * Castle Rock Area Bouldering > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/110744901/santa-cruz-dude,2.9,-1,Boulder,V3+,1,,37.23166,-122.09346
"Dark Side of the Moon","Lower Indian Rock > Indian Rock Side > * Castle Rock Area Bouldering > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/107154271/dark-side-of-the-moon,3.2,-1,Boulder,V6,1,,37.23166,-122.09346
"Asian Invasion","Lower Indian Rock > Indian Rock Side > * Castle Rock Area Bouldering > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/107458797/asian-invasion,2.9,-1,Boulder,V7,1,8,37.23166,-122.09346
"Static Pinch Traverse","Clamshell Boulder > Indian Rock Side > * Castle Rock Area Bouldering > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/118947327/static-pinch-traverse,3.0,-1,Boulder,V8-9,1,,37.23069,-122.09325
"Static Reach Sit","Clamshell Boulder > Indian Rock Side > * Castle Rock Area Bouldering > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/111770482/static-reach-sit,4.0,-1,Boulder,V9,1,,37.23069,-122.09325
"Lost Keys Traverse","Lost Keys Bouldering > Indian Rock Side > * Castle Rock Area Bouldering > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/107082274/lost-keys-traverse,3.6,-1,Boulder,V6,1,,37.2313,-122.09123
"Lost and Vicious","Lost Keys Bouldering > Indian Rock Side > * Castle Rock Area Bouldering > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/117406320/lost-and-vicious,3.0,-1,Boulder,V7-8,1,,37.2313,-122.09123
#swag,"Hash Rock > Indian Rock Side > * Castle Rock Area Bouldering > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/118746086/swag,3.0,-1,Boulder,V5,1,6,37.23134,-122.09368
"Lowie Throwie","Hash Rock > Indian Rock Side > * Castle Rock Area Bouldering > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/119059030/lowie-throwie,3.0,-1,Boulder,V5-6,1,,37.23134,-122.09368
"Thee Classic","Thee Classic > Indian Rock Side > * Castle Rock Area Bouldering > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/108203207/thee-classic,3.4,-1,Boulder,V4,1,12,37.23139,-122.09339
"Rabbit Hole","Thee Classic > Indian Rock Side > * Castle Rock Area Bouldering > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/111770434/rabbit-hole,3.0,-1,Boulder,V5,1,,37.23139,-122.09339
"Sharma Arete","Thee Classic > Indian Rock Side > * Castle Rock Area Bouldering > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/111770408/sharma-arete,3.5,-1,Boulder,V9,1,,37.23139,-122.09339
"Tafoni Baloney","Roadside Boulder > Indian Rock Side > * Castle Rock Area Bouldering > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/111828558/tafoni-baloney,3.1,-1,Boulder,V4,1,,37.23012,-122.09339
"Big Boss Man","The Office > Indian Rock Side > * Castle Rock Area Bouldering > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/116997430/big-boss-man,4.0,-1,Boulder,"V3 PG13",1,15,37.23239,-122.09363
"Hueco Volcano","Red Knobs Boulder > Indian Rock Side > * Castle Rock Area Bouldering > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/118709603/hueco-volcano,3.0,-1,Boulder,V8-9,1,,37.23064,-122.09308
"The Beak Traverse","The Beak > Magoos > Castle Rock Loop > * Castle Rock Area Bouldering > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/105736181/the-beak-traverse,2.8,-1,Boulder,V3,1,10,37.22844,-122.09592
"Garage door traverse","The Beak > Magoos > Castle Rock Loop > * Castle Rock Area Bouldering > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/117077756/garage-door-traverse,3.0,-1,Boulder,V4-5,1,10,37.22844,-122.09592
"Magoo Traverse","Mr Magoo Boulder > Magoos > Castle Rock Loop > * Castle Rock Area Bouldering > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/112362029/magoo-traverse,3.0,-1,Boulder,V1,1,60,37.22838,-122.09569
"When Magoo Flew (Dyno)","Mr Magoo Boulder > Magoos > Castle Rock Loop > * Castle Rock Area Bouldering > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/119135886/when-magoo-flew-dyno,4.0,-1,Boulder,V7,1,15,37.22838,-122.09569
