Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Machine World","Puppy Dome > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/106265351/machine-world,3.4,-1,Boulder,"5.11c V3",1,,37.87456,-119.34524
"Machine World Extension","Puppy Dome > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/117715679/machine-world-extension,3.0,-1,Boulder,V6,1,,37.87456,-119.34524
Unnamed,"Eliminator Boulder > The Knobs > * Tuolumne Bouldering > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/114055407/unnamed,2.4,-1,Boulder,V0,1,,37.85273,-119.44141
"Snake Eyes","Eliminator Boulder > The Knobs > * Tuolumne Bouldering > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/113548878/snake-eyes,2.8,-1,Boulder,V3,1,12,37.85273,-119.44141
"Double Dyno","Eliminator Boulder > The Knobs > * Tuolumne Bouldering > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/107459753/double-dyno,3.1,-1,Boulder,V3,1,12,37.85273,-119.44141
"Kauk Problem","Eliminator Boulder > The Knobs > * Tuolumne Bouldering > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/106668297/kauk-problem,3.4,-1,Boulder,V5,1,10,37.85273,-119.44141
"Eliminator Traverse","Eliminator Boulder > The Knobs > * Tuolumne Bouldering > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/106668315/eliminator-traverse,3.6,-1,Boulder,V7,1,,37.85273,-119.44141
"The Hardest Problem at the Knobs","Eliminator Boulder > The Knobs > * Tuolumne Bouldering > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/117555124/the-hardest-problem-at-the-knobs,2.0,-1,Boulder,V7,1,5,37.85273,-119.44141
"Right Scoop","The Scoop Boulder > The Knobs > * Tuolumne Bouldering > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/114068565/right-scoop,3.0,-1,Boulder,V0+,1,,37.85309,-119.44102
"Left Scoop","The Scoop Boulder > The Knobs > * Tuolumne Bouldering > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/114068613/left-scoop,3.0,-1,Boulder,"V0+ PG13",1,,37.85309,-119.44102
