Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Beach Vibes","The Charlatan > The Needles > The Needles / Kern River > Southern Sierra > California",https://www.mountainproject.com/route/114423323/beach-vibes,3.0,-1,Boulder,V4,1,13,36.10825,-118.48129
"Laser Blob","Surrounding Boulders > The Needles > The Needles / Kern River > Southern Sierra > California",https://www.mountainproject.com/route/107851402/laser-blob,3.0,-1,Boulder,V3-4,1,20,36.11985,-118.50838
"Riddle of the Missing Hold","Surrounding Boulders > The Needles > The Needles / Kern River > Southern Sierra > California",https://www.mountainproject.com/route/117661523/riddle-of-the-missing-hold,2.0,-1,Boulder,V4,1,12,36.11985,-118.50838
"Rose of Sharon","The Rancheria Boulder > Lower Kern River Canyon > The Needles / Kern River > Southern Sierra > California",https://www.mountainproject.com/route/105914021/rose-of-sharon,2.7,-1,Boulder,V3,1,8,35.42461,-118.82763
"The Temple","Lower Kern River Canyon Bouldering > Lower Kern River Canyon > The Needles / Kern River > Southern Sierra > California",https://www.mountainproject.com/route/108506585/the-temple,2.0,-1,Boulder,V2,1,,35.4407,-118.7942
"The Bulge","Lower Kern River Canyon Bouldering > Lower Kern River Canyon > The Needles / Kern River > Southern Sierra > California",https://www.mountainproject.com/route/108506577/the-bulge,3.0,-1,Boulder,V5,1,,35.4407,-118.7942
"Ship wrecked","Lower Kern River Canyon Bouldering > Lower Kern River Canyon > The Needles / Kern River > Southern Sierra > California",https://www.mountainproject.com/route/108434000/ship-wrecked,2.0,-1,Boulder,V5+,1,,35.4407,-118.7942
Lucid,"Lower Kern River Canyon Bouldering > Lower Kern River Canyon > The Needles / Kern River > Southern Sierra > California",https://www.mountainproject.com/route/108433966/lucid,2.0,-1,Boulder,V6,1,,35.4407,-118.7942
Parallax,"Lower Kern River Canyon Bouldering > Lower Kern River Canyon > The Needles / Kern River > Southern Sierra > California",https://www.mountainproject.com/route/109730912/parallax,3.0,-1,Boulder,V6,1,,35.4407,-118.7942
"Abin Sur","Lower Kern River Canyon Bouldering > Lower Kern River Canyon > The Needles / Kern River > Southern Sierra > California",https://www.mountainproject.com/route/109733398/abin-sur,2.0,-1,Boulder,V6-7,1,,35.4407,-118.7942
sentient,"Lower Kern River Canyon Bouldering > Lower Kern River Canyon > The Needles / Kern River > Southern Sierra > California",https://www.mountainproject.com/route/108433938/sentient,2.0,-1,Boulder,V7,1,,35.4407,-118.7942
