Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Sinking Johnson","Lower Boy Scout Lake Boulders > 14 - Whitney & Surrounding Peaks > High Sierra > California",https://www.mountainproject.com/route/117852778/sinking-johnson,2.0,-1,"Boulder, Alpine",V1,1,12,36.58393,-118.2601
"Scout's Nose","Lower Boy Scout Lake Boulders > 14 - Whitney & Surrounding Peaks > High Sierra > California",https://www.mountainproject.com/route/117405086/scouts-nose,2.0,-1,"Boulder, Alpine",V1+,1,,36.58393,-118.2601
"The Crimp","Lower Boy Scout Lake Boulders > 14 - Whitney & Surrounding Peaks > High Sierra > California",https://www.mountainproject.com/route/117399126/the-crimp,3.3,-1,"Boulder, Alpine",V3-,1,,36.58393,-118.2601
"Back-Step Traverse","The Alley > 09 - Palisades & Surrounding Peaks > High Sierra > California",https://www.mountainproject.com/route/113562481/back-step-traverse,4.0,-1,"Boulder, Alpine",V0,1,15,37.12523,-118.48637
"The Virus","The Alley > 09 - Palisades & Surrounding Peaks > High Sierra > California",https://www.mountainproject.com/route/113562475/the-virus,2.0,-1,"Boulder, Alpine",V1+,1,10,37.12523,-118.48637
"Spicy Mango","The Alley > 09 - Palisades & Surrounding Peaks > High Sierra > California",https://www.mountainproject.com/route/113562469/spicy-mango,4.0,-1,"Boulder, Alpine","V3 PG13",1,30,37.12523,-118.48637
