Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Left Arete","395 Boulder > Walker River Canyon > Sierra Eastside > California",https://www.mountainproject.com/route/109261835/left-arete,3.6,-1,Boulder,V5,1,15,38.45628,-119.46045
"Left Slab","395 Boulder > Walker River Canyon > Sierra Eastside > California",https://www.mountainproject.com/route/117799213/left-slab,2.0,-1,Boulder,V5,1,,38.45628,-119.46045
"Right Arete Underling","395 Boulder > Walker River Canyon > Sierra Eastside > California",https://www.mountainproject.com/route/109261877/right-arete-underling,2.3,-1,Boulder,V5,1,10,38.45628,-119.46045
"Center Slab","395 Boulder > Walker River Canyon > Sierra Eastside > California",https://www.mountainproject.com/route/109261844/center-slab,3.5,-1,Boulder,V6,1,15,38.45628,-119.46045
"Right Arête","395 Boulder > Walker River Canyon > Sierra Eastside > California",https://www.mountainproject.com/route/117799227/right-arete,2.0,-1,Boulder,V6,1,,38.45628,-119.46045
