Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Swiss Cheese Traverse","Swiss Cheese Boulder > Potato Patch > Clark Canyon > Mammoth Lakes Area > Sierra Eastside > California",https://www.mountainproject.com/route/108305366/swiss-cheese-traverse,3.0,-1,Boulder,V5,1,200,37.78984,-118.91431
"Big Cheese","Swiss Cheese Boulder > Potato Patch > Clark Canyon > Mammoth Lakes Area > Sierra Eastside > California",https://www.mountainproject.com/route/108305379/big-cheese,4.0,-1,Boulder,V8+,1,200,37.78984,-118.91431
"Problem B","Campground Boulder > Rock Creek Bouldering > Rock Creek > Mammoth Lakes Area > Sierra Eastside > California",https://www.mountainproject.com/route/110415575/problem-b,2.1,-1,Boulder,V0-,1,12,37.5103,-118.7147
"Arete to Arete","Campground Boulder > Rock Creek Bouldering > Rock Creek > Mammoth Lakes Area > Sierra Eastside > California",https://www.mountainproject.com/route/106308523/arete-to-arete,2.7,-1,Boulder,"V3 PG13",1,20,37.5103,-118.7147
"Weapon of Choice","Campground Boulder > Rock Creek Bouldering > Rock Creek > Mammoth Lakes Area > Sierra Eastside > California",https://www.mountainproject.com/route/106297257/weapon-of-choice,3.1,-1,Boulder,V4,1,14,37.5103,-118.7147
"Pull Down Like De Jesus","Campground Boulder > Rock Creek Bouldering > Rock Creek > Mammoth Lakes Area > Sierra Eastside > California",https://www.mountainproject.com/route/106048714/pull-down-like-de-jesus,3.3,-1,Boulder,V4,1,15,37.5103,-118.7147
"Off the Couch","Campground Boulder > Rock Creek Bouldering > Rock Creek > Mammoth Lakes Area > Sierra Eastside > California",https://www.mountainproject.com/route/107180800/off-the-couch,2.1,-1,Boulder,V6,1,17,37.5103,-118.7147
Osama,"Campground Boulder > Rock Creek Bouldering > Rock Creek > Mammoth Lakes Area > Sierra Eastside > California",https://www.mountainproject.com/route/106278961/osama,3.1,-1,Boulder,V6,1,12,37.5103,-118.7147
Unnamed,"Campground Boulder > Rock Creek Bouldering > Rock Creek > Mammoth Lakes Area > Sierra Eastside > California",https://www.mountainproject.com/route/111291959/unnamed,2.0,-1,Boulder,V7,1,12,37.5103,-118.7147
"Campground Arete","Campground Boulder > Rock Creek Bouldering > Rock Creek > Mammoth Lakes Area > Sierra Eastside > California",https://www.mountainproject.com/route/106297247/campground-arete,3.8,-1,Boulder,V9,1,20,37.5103,-118.7147
"River Face Arete","Campground Boulder > Rock Creek Bouldering > Rock Creek > Mammoth Lakes Area > Sierra Eastside > California",https://www.mountainproject.com/route/111278524/river-face-arete,4.0,-1,Boulder,V10,1,20,37.5103,-118.7147
"Slab and Groove","Clearcut Boulder > Rock Creek Bouldering > Rock Creek > Mammoth Lakes Area > Sierra Eastside > California",https://www.mountainproject.com/route/109635196/slab-and-groove,2.0,-1,Boulder,V-easy,1,20,37.5099,-118.7155
"Problem C","Clearcut Boulder > Rock Creek Bouldering > Rock Creek > Mammoth Lakes Area > Sierra Eastside > California",https://www.mountainproject.com/route/109635044/problem-c,2.0,-1,Boulder,"V0- PG13",1,25,37.5099,-118.7155
"Problem D","Clearcut Boulder > Rock Creek Bouldering > Rock Creek > Mammoth Lakes Area > Sierra Eastside > California",https://www.mountainproject.com/route/109635179/problem-d,2.0,-1,Boulder,"V0+ PG13",1,25,37.5099,-118.7155
Aspen,"Clearcut Boulder > Rock Creek Bouldering > Rock Creek > Mammoth Lakes Area > Sierra Eastside > California",https://www.mountainproject.com/route/106784064/aspen,1.9,-1,Boulder,V2,1,15,37.5099,-118.7155
"Problem A","Clearcut Boulder > Rock Creek Bouldering > Rock Creek > Mammoth Lakes Area > Sierra Eastside > California",https://www.mountainproject.com/route/106784094/problem-a,2.5,-1,Boulder,V3,1,18,37.5099,-118.7155
"One Move Blunder","Clearcut Boulder > Rock Creek Bouldering > Rock Creek > Mammoth Lakes Area > Sierra Eastside > California",https://www.mountainproject.com/route/106784083/one-move-blunder,3.1,-1,Boulder,V4,1,12,37.5099,-118.7155
"The Blunder Bus","Clearcut Boulder > Rock Creek Bouldering > Rock Creek > Mammoth Lakes Area > Sierra Eastside > California",https://www.mountainproject.com/route/106784105/the-blunder-bus,2.3,-1,Boulder,V5-6,1,12,37.5099,-118.7155
Clearcut,"Clearcut Boulder > Rock Creek Bouldering > Rock Creek > Mammoth Lakes Area > Sierra Eastside > California",https://www.mountainproject.com/route/107326760/clearcut,3.6,-1,Boulder,V7,1,12,37.5099,-118.7155
Overzealous,"Clearcut Boulder > Rock Creek Bouldering > Rock Creek > Mammoth Lakes Area > Sierra Eastside > California",https://www.mountainproject.com/route/109447310/overzealous,3.0,-1,Boulder,V9,1,12,37.5099,-118.7155
"Great White","The Boy Named Sue Boulder > Rock Creek Bouldering > Rock Creek > Mammoth Lakes Area > Sierra Eastside > California",https://www.mountainproject.com/route/114255978/great-white,2.0,-1,Boulder,V2,1,,37.5092,-118.7152
"White Snake","The Boy Named Sue Boulder > Rock Creek Bouldering > Rock Creek > Mammoth Lakes Area > Sierra Eastside > California",https://www.mountainproject.com/route/114255987/white-snake,2.5,-1,Boulder,V3,1,,37.5092,-118.7152
"Groove and Arete","The Boy Named Sue Boulder > Rock Creek Bouldering > Rock Creek > Mammoth Lakes Area > Sierra Eastside > California",https://www.mountainproject.com/route/106784042/groove-and-arete,3.4,-1,Boulder,V4,1,15,37.5092,-118.7152
"A Boy Named Sue","The Boy Named Sue Boulder > Rock Creek Bouldering > Rock Creek > Mammoth Lakes Area > Sierra Eastside > California",https://www.mountainproject.com/route/107483962/a-boy-named-sue,3.5,-1,Boulder,V7,1,,37.5092,-118.7152
"Blood Brothers","The Boy Named Sue Boulder > Rock Creek Bouldering > Rock Creek > Mammoth Lakes Area > Sierra Eastside > California",https://www.mountainproject.com/route/107456656/blood-brothers,3.9,-1,Boulder,V7,1,12,37.5092,-118.7152
"Fluke a.k.a The Drunken Master","The Boy Named Sue Boulder > Rock Creek Bouldering > Rock Creek > Mammoth Lakes Area > Sierra Eastside > California",https://www.mountainproject.com/route/111291761/fluke-aka-the-drunken-master,3.3,-1,Boulder,V8,1,15,37.5092,-118.7152
Dude,"The Boy Named Sue Boulder > Rock Creek Bouldering > Rock Creek > Mammoth Lakes Area > Sierra Eastside > California",https://www.mountainproject.com/route/107483852/dude,4.0,-1,Boulder,V9,1,,37.5092,-118.7152
"Life Ain't Easy","The Boy Named Sue Boulder > Rock Creek Bouldering > Rock Creek > Mammoth Lakes Area > Sierra Eastside > California",https://www.mountainproject.com/route/111513756/life-aint-easy,3.5,-1,Boulder,V10,1,,37.5092,-118.7152
"Blood Sport","The Boy Named Sue Boulder > Rock Creek Bouldering > Rock Creek > Mammoth Lakes Area > Sierra Eastside > California",https://www.mountainproject.com/route/119014949/blood-sport,4.0,-1,Boulder,V11,1,25,37.5092,-118.7152
"Camel Love","Harem Boulder > Rock Creek Bouldering > Rock Creek > Mammoth Lakes Area > Sierra Eastside > California",https://www.mountainproject.com/route/107624637/camel-love,3.2,-1,Boulder,V4,1,15,37.51064,-118.71501
"Wave of Babies","Wave of Babies Boulder > Rock Creek Bouldering > Rock Creek > Mammoth Lakes Area > Sierra Eastside > California",https://www.mountainproject.com/route/116675503/wave-of-babies,2.0,-1,Boulder,V5,1,,37.51091,-118.71505
Unknown,"Sloper Boulder > Rock Creek Bouldering > Rock Creek > Mammoth Lakes Area > Sierra Eastside > California",https://www.mountainproject.com/route/111978192/unknown,2.0,-1,Boulder,V2,1,4,37.50928,-118.71491
