Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"A Hearty Handful of Cheek","Group site 1 apron > Group Campsites Road > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/118310019/a-hearty-handful-of-cheek,4.0,-1,Boulder,"V0 PG13",1,6,34.09922,-116.15637
"Gait of Power Traverse","Billboard Buttress > Indian Cove Campground > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/106387998/gait-of-power-traverse,2.0,-1,Boulder,V1,1,20,34.0935,-116.1561
"Crack Alley","Billboard Buttress > Indian Cove Campground > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/106280701/crack-alley,2.0,-1,Boulder,V1-2,1,15,34.0935,-116.1561
"Fart Man","Spider Wall > Indian Cove Campground > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/106999319/fart-man,2.0,-1,Boulder,V1,1,15,34.09375,-116.1613
"Newton's Law","The Love Nest > Love Nest Area > Planet X Area > Sheep Pass Area > Joshua Tree National Park > California",https://www.mountainproject.com/route/108734039/newtons-law,3.5,-1,Boulder,V5,1,15,33.99591,-116.15801
"Trashman Roof","King Dome - East Face > King Dome > Hall of Horrors Area > Sheep Pass Area > Joshua Tree National Park > California",https://www.mountainproject.com/route/105722044/trashman-roof,2.2,-1,"Trad, Boulder","5.9 V0",1,30,34.00317,-116.14936
"The Mantler","Group Campsite 6 > Sheep Pass Group CG Area > Sheep Pass Area > Joshua Tree National Park > California",https://www.mountainproject.com/route/109775049/the-mantler,2.3,-1,Boulder,"V-easy PG13",1,20,34.00027,-116.12177
"Wiggle Till You Squiggle at the Debutant Ball","Group Campsite 6 > Sheep Pass Group CG Area > Sheep Pass Area > Joshua Tree National Park > California",https://www.mountainproject.com/route/109849840/wiggle-till-you-squiggle-at-the-debutant-ball,3.0,-1,Boulder,V1,1,10,34.00027,-116.12177
"John Cena","WWE Boulder > The Backyard > Group site 1 > Sheep Pass Group CG Area > Sheep Pass Area > Joshua Tree National Park > California",https://www.mountainproject.com/route/118159192/john-cena,2.0,-1,Boulder,V0,1,12,33.99703,-116.12061
"PB is a little brown dog","Jumbo Rocks Corridor > Jumbo Rock Area > Joshua Tree National Park > California",https://www.mountainproject.com/route/116217465/pb-is-a-little-brown-dog,2.5,-1,Boulder,V0,1,12,33.99272,-116.0596
"Which is Wort","Jumbo Rocks Entrance > Jumbo Rock Area > Joshua Tree National Park > California",https://www.mountainproject.com/route/118155768/which-is-wort,2.0,-1,Boulder,"V0 R",1,10,33.9908,-116.06709
"Big Bob's Big Wedge","Big Bob's Big Wedge > Live Oak Picnic Area > Joshua Tree National Park > California",https://www.mountainproject.com/route/105900396/big-bobs-big-wedge,3.9,-1,"Trad, Boulder","5.12a V5",1,40,33.99973,-116.05138
"Ship Wrecked","Pac Man Rock > East Virgin Islands > Geology Tour Road > Joshua Tree National Park > California",https://www.mountainproject.com/route/105725254/ship-wrecked,2.0,-1,Boulder,V6,1,15,33.94565,-116.05707
"Sweetie Pie","Illicit Sweetie Boulder > The Hang > Planet X Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/106649376/sweetie-pie,2.8,-1,Boulder,V-easy,1,18,33.99802,-116.15351
Sweetielicious,"Illicit Sweetie Boulder > The Hang > Planet X Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/106649385/sweetielicious,2.2,-1,Boulder,V0-,1,18,33.99802,-116.15351
"Illicit Sweetie","Illicit Sweetie Boulder > The Hang > Planet X Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/105798054/illicit-sweetie,3.1,-1,Boulder,V0,1,18,33.99802,-116.15351
"X Offender","Illicit Sweetie Boulder > The Hang > Planet X Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/106649403/x-offender,1.8,-1,Boulder,V2,1,18,33.99802,-116.15351
"Mulligan Mantle","Illicit Sweetie Boulder > The Hang > Planet X Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/114085260/mulligan-mantle,2.6,-1,Boulder,V3,1,8,33.99802,-116.15351
"The Halfling","Halfling Boulder > The Hang > Planet X Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/106649431/the-halfling,2.4,-1,Boulder,V1+,1,15,33.99792,-116.15341
"The Real Slam Dunk","Halfling Boulder > The Hang > Planet X Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/106649438/the-real-slam-dunk,2.0,-1,Boulder,V3,1,12,33.99792,-116.15341
"The Sideling","Halfling Boulder > The Hang > Planet X Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/111505610/the-sideling,3.1,-1,Boulder,V3,1,13,33.99792,-116.15341
Unnamed,"Nicole Boulder > The Hang > Planet X Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/108682718/unnamed,2.7,-1,Boulder,V3,1,15,33.99779,-116.1536
"Nicole Overhang","Nicole Boulder > The Hang > Planet X Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/107905741/nicole-overhang,3.1,-1,Boulder,V6,1,13,33.99779,-116.1536
Unknown,"Strawberry Contraceptives Boulder > The Hang > Planet X Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/111735651/unknown,2.2,-1,Boulder,V1,1,11,33.99762,-116.15424
