Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Mortar Traverse","Overflow Lot > Kings Canyon > Sequoia & Kings Canyon NP > California",https://www.mountainproject.com/route/117002735/mortar-traverse,3.0,-1,Boulder,V-easy,1,,36.78992,-118.66974
"Lamb Stew","Grant Grove > Kings Canyon > Sequoia & Kings Canyon NP > California",https://www.mountainproject.com/route/119123410/lamb-stew,4.0,-1,Boulder,V0,1,13,36.74018,-118.96326
"Sheeple May Climb","Grant Grove > Kings Canyon > Sequoia & Kings Canyon NP > California",https://www.mountainproject.com/route/117085749/sheeple-may-climb,2.3,-1,Boulder,V2,1,15,36.74018,-118.96326
"Okay, You're a Goat.","Grant Grove > Kings Canyon > Sequoia & Kings Canyon NP > California",https://www.mountainproject.com/route/119123287/okay-youre-a-goat,3.0,-1,Boulder,V3+,1,13,36.74018,-118.96326
"Time off Lieback","Eli's Paradise > * SEKI Bouldering > Sequoia & Kings Canyon NP > California",https://www.mountainproject.com/route/118713137/time-off-lieback,3.0,-1,Boulder,V2-3,1,22,36.57001,-118.77363
Plano,"Bilar Boulder > Wuksachi Lodge > * SEKI Bouldering > Sequoia & Kings Canyon NP > California",https://www.mountainproject.com/route/118735948/plano,3.0,-1,Boulder,V1,1,12,36.61297,-118.75446
"Bilar Main","Bilar Boulder > Wuksachi Lodge > * SEKI Bouldering > Sequoia & Kings Canyon NP > California",https://www.mountainproject.com/route/115192425/bilar-main,2.3,-1,Boulder,"V3 PG13",1,14,36.61297,-118.75446
"El Dorado","Bilar Boulder > Wuksachi Lodge > * SEKI Bouldering > Sequoia & Kings Canyon NP > California",https://www.mountainproject.com/route/117046409/el-dorado,2.0,-1,Boulder,V3,1,15,36.61297,-118.75446
Shlab,"Marble Fork Overlook > Wuksachi Lodge > * SEKI Bouldering > Sequoia & Kings Canyon NP > California",https://www.mountainproject.com/route/116500371/shlab,3.0,-1,Boulder,V1,1,12,36.60189,-118.7544
Slack,"Marble Fork Overlook > Wuksachi Lodge > * SEKI Bouldering > Sequoia & Kings Canyon NP > California",https://www.mountainproject.com/route/116500166/slack,2.5,-1,Boulder,V1,1,12,36.60189,-118.7544
"West Virginia","Marble Fork Overlook > Wuksachi Lodge > * SEKI Bouldering > Sequoia & Kings Canyon NP > California",https://www.mountainproject.com/route/116500191/west-virginia,2.0,-1,Boulder,V2,1,,36.60189,-118.7544
"High Heels","Marble Fork Overlook > Wuksachi Lodge > * SEKI Bouldering > Sequoia & Kings Canyon NP > California",https://www.mountainproject.com/route/116925919/high-heels,2.5,-1,Boulder,V3,1,10,36.60189,-118.7544
"HobbleMaster 3000","Marble Fork Overlook > Wuksachi Lodge > * SEKI Bouldering > Sequoia & Kings Canyon NP > California",https://www.mountainproject.com/route/117276672/hobblemaster-3000,4.0,-1,Boulder,V4,1,12,36.60189,-118.7544
"Catnip (Kitty Crack)","Clover Creek aka Spirit Heal > Wuksachi Lodge > * SEKI Bouldering > Sequoia & Kings Canyon NP > California",https://www.mountainproject.com/route/115315153/catnip-kitty-crack,2.5,-1,Boulder,V0,1,13,36.61876,-118.75021
Tiptoes,"Clover Creek aka Spirit Heal > Wuksachi Lodge > * SEKI Bouldering > Sequoia & Kings Canyon NP > California",https://www.mountainproject.com/route/115315228/tiptoes,2.5,-1,Boulder,V2-,1,12,36.61876,-118.75021
"Spirit Heal","Clover Creek aka Spirit Heal > Wuksachi Lodge > * SEKI Bouldering > Sequoia & Kings Canyon NP > California",https://www.mountainproject.com/route/115315266/spirit-heal,3.3,-1,Boulder,V4-5,1,15,36.61876,-118.75021
Asymptotic,"Junction Boulders > Wuksachi Lodge > * SEKI Bouldering > Sequoia & Kings Canyon NP > California",https://www.mountainproject.com/route/116724821/asymptotic,3.0,-1,Boulder,V1,1,15,36.60569,-118.75896
"Linearly Dependent","Cedar Boulders > Wuksachi Lodge > * SEKI Bouldering > Sequoia & Kings Canyon NP > California",https://www.mountainproject.com/route/116503593/linearly-dependent,2.5,-1,Boulder,V1,1,12,36.6028,-118.7557
"LU Decomposition","Cedar Boulders > Wuksachi Lodge > * SEKI Bouldering > Sequoia & Kings Canyon NP > California",https://www.mountainproject.com/route/116503737/lu-decomposition,3.0,-1,Boulder,V1,1,12,36.6028,-118.7557
"Linearly Independent","Cedar Boulders > Wuksachi Lodge > * SEKI Bouldering > Sequoia & Kings Canyon NP > California",https://www.mountainproject.com/route/116503787/linearly-independent,2.5,-1,Boulder,V2,1,12,36.6028,-118.7557
"Bovine Battalion","The Lower Bottoms > Slickrock Bouldering Area > * SEKI Bouldering > Sequoia & Kings Canyon NP > California",https://www.mountainproject.com/route/108506666/bovine-battalion,2.0,-1,Boulder,V1,1,9,36.408,-118.949
"Charlie Bit Me","The Lower Bottoms > Slickrock Bouldering Area > * SEKI Bouldering > Sequoia & Kings Canyon NP > California",https://www.mountainproject.com/route/108506648/charlie-bit-me,2.0,-1,Boulder,V2,1,10,36.408,-118.949
"Down Under","The Lower Bottoms > Slickrock Bouldering Area > * SEKI Bouldering > Sequoia & Kings Canyon NP > California",https://www.mountainproject.com/route/108506654/down-under,3.0,-1,Boulder,V5,1,12,36.408,-118.949
"Knee Stacker","Corridor Boulders > Slickrock Bouldering Area > * SEKI Bouldering > Sequoia & Kings Canyon NP > California",https://www.mountainproject.com/route/108506682/knee-stacker,2.0,-1,Boulder,V1,1,12,36.41159,-118.9385
"Van by the River","Corridor Boulders > Slickrock Bouldering Area > * SEKI Bouldering > Sequoia & Kings Canyon NP > California",https://www.mountainproject.com/route/116650607/van-by-the-river,2.0,-1,Boulder,V1,1,8,36.41159,-118.9385
"Will's Crack","Corridor Boulders > Slickrock Bouldering Area > * SEKI Bouldering > Sequoia & Kings Canyon NP > California",https://www.mountainproject.com/route/116571200/wills-crack,3.0,-1,Boulder,V2+,1,10,36.41159,-118.9385
"Smooth Operator","Corridor Boulders > Slickrock Bouldering Area > * SEKI Bouldering > Sequoia & Kings Canyon NP > California",https://www.mountainproject.com/route/116650473/smooth-operator,3.0,-1,Boulder,V3-,1,14,36.41159,-118.9385
"Will's Problem","Corridor Boulders > Slickrock Bouldering Area > * SEKI Bouldering > Sequoia & Kings Canyon NP > California",https://www.mountainproject.com/route/108507915/wills-problem,3.0,-1,Boulder,V4,1,11,36.41159,-118.9385
"The Entertainer","Corridor Boulders > Slickrock Bouldering Area > * SEKI Bouldering > Sequoia & Kings Canyon NP > California",https://www.mountainproject.com/route/108507930/the-entertainer,2.7,-1,Boulder,"V5 PG13",1,20,36.41159,-118.9385
"Rick Flare Project","Corridor Boulders > Slickrock Bouldering Area > * SEKI Bouldering > Sequoia & Kings Canyon NP > California",https://www.mountainproject.com/route/108507903/rick-flare-project,2.0,-1,Boulder,V7+,1,10,36.41159,-118.9385
"Slab Problem","Ray's Boulder > Slickrock Bouldering Area > * SEKI Bouldering > Sequoia & Kings Canyon NP > California",https://www.mountainproject.com/route/110548038/slab-problem,2.0,-1,Boulder,V-easy,1,10,36.41246,-118.9376
"Ray's Boulder Problem","Ray's Boulder > Slickrock Bouldering Area > * SEKI Bouldering > Sequoia & Kings Canyon NP > California",https://www.mountainproject.com/route/110548042/rays-boulder-problem,2.0,-1,Boulder,V2-,1,8,36.41246,-118.9376
"The Arete","The Arete Boulder > Slickrock Bouldering Area > * SEKI Bouldering > Sequoia & Kings Canyon NP > California",https://www.mountainproject.com/route/110548071/the-arete,2.5,-1,Boulder,V2-3,1,15,36.41222,-118.938
"Razor's Edge","The Arete Boulder > Slickrock Bouldering Area > * SEKI Bouldering > Sequoia & Kings Canyon NP > California",https://www.mountainproject.com/route/110548081/razors-edge,2.0,-1,Boulder,V3,1,15,36.41222,-118.938
"Butter Fingers","Butter Muffins > General Sherman Tree > * SEKI Bouldering > Sequoia & Kings Canyon NP > California",https://www.mountainproject.com/route/116486108/butter-fingers,2.0,-1,Boulder,V1,1,13,36.58345,-118.75024
"Butter Muffins","Butter Muffins > General Sherman Tree > * SEKI Bouldering > Sequoia & Kings Canyon NP > California",https://www.mountainproject.com/route/110900489/butter-muffins,3.0,-1,Boulder,V3,1,10,36.58345,-118.75024
Ruff,"Ruff > General Sherman Tree > * SEKI Bouldering > Sequoia & Kings Canyon NP > California",https://www.mountainproject.com/route/114952752/ruff,2.0,-1,Boulder,V3,1,,36.58551,-118.75032
"Manzanita Crack","Potwisha Campground Boulders > * SEKI Bouldering > Sequoia & Kings Canyon NP > California",https://www.mountainproject.com/route/108289190/manzanita-crack,2.0,-1,Boulder,"V0 PG13",1,25,36.5124,-118.8004
"Left Handed Shame","Potwisha Campground Boulders > * SEKI Bouldering > Sequoia & Kings Canyon NP > California",https://www.mountainproject.com/route/108289148/left-handed-shame,2.0,-1,Boulder,V2,1,10,36.5124,-118.8004
