Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Catfish School Boulder","Salmon Lake > Rainbow > I-80 Corridor > Lake Tahoe > California",https://www.mountainproject.com/route/117318441/catfish-school-boulder,2.0,-1,Boulder,V-easy,1,,39.28042,-120.51608
"The Warm Up","Pacific Street Wall > Deer Creek Park (Rocklin Quarry) > I-80 Corridor > Lake Tahoe > California",https://www.mountainproject.com/route/108473691/the-warm-up,2.6,-1,Boulder,V0,1,12,38.78688,-121.23924
"Crack Face","Pacific Street Wall > Deer Creek Park (Rocklin Quarry) > I-80 Corridor > Lake Tahoe > California",https://www.mountainproject.com/route/108473704/crack-face,2.4,-1,Boulder,V0,1,,38.78688,-121.23924
"Dragon's Neck Traverse","Pacific Street Wall > Deer Creek Park (Rocklin Quarry) > I-80 Corridor > Lake Tahoe > California",https://www.mountainproject.com/route/108581042/dragons-neck-traverse,1.8,-1,Boulder,V0,1,,38.78688,-121.23924
"Thin Hands SDS","Pacific Street Wall > Deer Creek Park (Rocklin Quarry) > I-80 Corridor > Lake Tahoe > California",https://www.mountainproject.com/route/108473685/thin-hands-sds,2.5,-1,Boulder,V1,1,10,38.78688,-121.23924
"Seeds and Stems","Pacific Street Wall > Deer Creek Park (Rocklin Quarry) > I-80 Corridor > Lake Tahoe > California",https://www.mountainproject.com/route/108473710/seeds-and-stems,2.3,-1,Boulder,V1,1,12,38.78688,-121.23924
Desperado,"Pacific Street Wall > Deer Creek Park (Rocklin Quarry) > I-80 Corridor > Lake Tahoe > California",https://www.mountainproject.com/route/108487627/desperado,3.0,-1,Boulder,V2,1,12,38.78688,-121.23924
"Sit Down and Shut Up","Pacific Street Wall > Deer Creek Park (Rocklin Quarry) > I-80 Corridor > Lake Tahoe > California",https://www.mountainproject.com/route/108473698/sit-down-and-shut-up,2.6,-1,Boulder,V2+,1,12,38.78688,-121.23924
"High Pacific Street Traverse","Pacific Street Wall > Deer Creek Park (Rocklin Quarry) > I-80 Corridor > Lake Tahoe > California",https://www.mountainproject.com/route/107725910/high-pacific-street-traverse,3.5,-1,Boulder,V2-3,1,13,38.78688,-121.23924
Nemesis,"Pacific Street Wall > Deer Creek Park (Rocklin Quarry) > I-80 Corridor > Lake Tahoe > California",https://www.mountainproject.com/route/107254258/nemesis,3.5,-1,Boulder,V2-3,1,15,38.78688,-121.23924
