Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"DOA Traverse","Hidden Wall (aka The Meat Locker) > Box Canyon East > New Jack City > High Desert > California",https://www.mountainproject.com/route/105927509/doa-traverse,2.0,-1,Boulder,V-easy,1,35,34.66525,-116.97824
"Slash X","Slash X boulder > Box Canyon East > New Jack City > High Desert > California",https://www.mountainproject.com/route/105916552/slash-x,3.5,-1,Boulder,V6-,1,15,34.66525,-116.97824
"Cub Scout","Boy Scout Wall Bouldering > Box Canyon East > New Jack City > High Desert > California",https://www.mountainproject.com/route/112828001/cub-scout,2.7,-1,Boulder,V1,1,11,34.66663,-116.97973
"The Hall","The Snack Shop > Entrance Area Crags > New Jack City > High Desert > California",https://www.mountainproject.com/route/105916562/the-hall,3.0,-1,Boulder,V-easy,1,65,34.67092,-116.984
"The Low IQ","The Snack Shop > Entrance Area Crags > New Jack City > High Desert > California",https://www.mountainproject.com/route/105916574/the-low-iq,2.0,-1,Boulder,V-easy,1,15,34.67092,-116.984
"To get to the Other Side","Hen House > Entrance Area Crags > New Jack City > High Desert > California",https://www.mountainproject.com/route/112812365/to-get-to-the-other-side,2.0,-1,Boulder,V0,1,15,34.66824,-116.98491
"Which Came First...","Hen House > Entrance Area Crags > New Jack City > High Desert > California",https://www.mountainproject.com/route/112812355/which-came-first,2.0,-1,Boulder,V1,1,20,34.66824,-116.98491
"Rotten Egg","Hen House > Entrance Area Crags > New Jack City > High Desert > California",https://www.mountainproject.com/route/112812361/rotten-egg,2.0,-1,Boulder,V1,1,20,34.66824,-116.98491
"Fowl Play","Hen House > Entrance Area Crags > New Jack City > High Desert > California",https://www.mountainproject.com/route/112812369/fowl-play,2.0,-1,Boulder,V2,1,15,34.66824,-116.98491
"Ruffle Feathers","Hen House > Entrance Area Crags > New Jack City > High Desert > California",https://www.mountainproject.com/route/114016458/ruffle-feathers,2.0,-1,Boulder,V3-,1,10,34.66824,-116.98491
Wishbone,"Southern Canyon Boulders > New Jack City > High Desert > California",https://www.mountainproject.com/route/118604972/wishbone,2.0,-1,Boulder,V2,1,12,34.66286,-116.97883
