Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Building Blocks","Seely Creek > Lake Arrowhead Area > San Bernardino Mountains > California",https://www.mountainproject.com/route/113991735/building-blocks,2.0,-1,"TR, Boulder","5.7+ V1-2 PG13",1,20,34.26234,-117.30584
"Solo Crack","Solo Rock > Children's Forest > Keller Peak > Running Springs Area > San Bernardino Mountains > California",https://www.mountainproject.com/route/106064715/solo-crack,2.3,-1,Boulder,V0,1,20,34.21039,-117.04994
"Crack Practice","Sunset Gully > * Keller Peak Bouldering > Keller Peak > Running Springs Area > San Bernardino Mountains > California",https://www.mountainproject.com/route/113626163/crack-practice,2.0,-1,Boulder,V0,1,15,34.20474,-117.05134
"V1 West Face","Great Boulder > Roadside Rocks > * Keller Peak Bouldering > Keller Peak > Running Springs Area > San Bernardino Mountains > California",https://www.mountainproject.com/route/113991329/v1-west-face,2.0,-1,Boulder,V1,1,10,34.20693,-117.07354
"Cracked Face","Parking Lot Boulder > * Keller Peak Bouldering > Keller Peak > Running Springs Area > San Bernardino Mountains > California",https://www.mountainproject.com/route/118953065/cracked-face,2.5,-1,"Boulder, Alpine",V-easy,1,10,34.1963,-117.04936
"The Hungover Traverse","Hungover Wall > * Keller Peak Bouldering > Keller Peak > Running Springs Area > San Bernardino Mountains > California",https://www.mountainproject.com/route/105806103/the-hungover-traverse,3.0,-1,Boulder,V4,1,100,34.20442,-117.05119
"Death on Two Legs","Pete's Cove > * Keller Peak Bouldering > Keller Peak > Running Springs Area > San Bernardino Mountains > California",https://www.mountainproject.com/route/105936974/death-on-two-legs,2.0,-1,Boulder,V4,1,50,34.20636,-117.07607
"Wax Me This","Deep Creek Hot Springs > Deep Creek > Running Springs Area > San Bernardino Mountains > California",https://www.mountainproject.com/route/107944558/wax-me-this,3.0,-1,Boulder,V0,1,22,34.3394,-117.1771
"Bus Stop Arete","School Rock Bouldering > School Rock (aka Eagle Eye Rock) > Running Springs Area > San Bernardino Mountains > California",https://www.mountainproject.com/route/110203520/bus-stop-arete,2.0,-1,Boulder,V2,1,8,34.1949,-117.08933
"Desperate Driver","School Rock Bouldering > School Rock (aka Eagle Eye Rock) > Running Springs Area > San Bernardino Mountains > California",https://www.mountainproject.com/route/110203556/desperate-driver,2.0,-1,Boulder,V2,1,8,34.1949,-117.08933
"Bus Stop Smoke Break","School Rock Bouldering > School Rock (aka Eagle Eye Rock) > Running Springs Area > San Bernardino Mountains > California",https://www.mountainproject.com/route/110203542/bus-stop-smoke-break,2.0,-1,Boulder,V2+,1,8,34.1949,-117.08933
"Patagonian Custodian","HK Boulder > School Rock (aka Eagle Eye Rock) > Running Springs Area > San Bernardino Mountains > California",https://www.mountainproject.com/route/113695534/patagonian-custodian,2.0,-1,Boulder,V0,1,12,34.19462,-117.08952
"Beach Ball","Highball Boulder > Highball Area > Snow Valley West > Snow Valley Bouldering > Running Springs Area > San Bernardino Mountains > California",https://www.mountainproject.com/route/111874827/beach-ball,2.0,-1,Boulder,V0,1,12,34.22063,-117.05227
Lowball,"Highball Boulder > Highball Area > Snow Valley West > Snow Valley Bouldering > Running Springs Area > San Bernardino Mountains > California",https://www.mountainproject.com/route/111874853/lowball,2.0,-1,Boulder,V0,1,12,34.22063,-117.05227
"Muir Wall","Highball Boulder > Highball Area > Snow Valley West > Snow Valley Bouldering > Running Springs Area > San Bernardino Mountains > California",https://www.mountainproject.com/route/111874797/muir-wall,2.0,-1,Boulder,V0,1,16,34.22063,-117.05227
Pineball,"Highball Boulder > Highball Area > Snow Valley West > Snow Valley Bouldering > Running Springs Area > San Bernardino Mountains > California",https://www.mountainproject.com/route/111874865/pineball,2.0,-1,Boulder,V1,1,15,34.22063,-117.05227
Highball,"Highball Boulder > Highball Area > Snow Valley West > Snow Valley Bouldering > Running Springs Area > San Bernardino Mountains > California",https://www.mountainproject.com/route/111874805/highball,3.0,-1,Boulder,"V1 PG13",1,18,34.22063,-117.05227
"Enrique's Traverse","Highball Boulder > Highball Area > Snow Valley West > Snow Valley Bouldering > Running Springs Area > San Bernardino Mountains > California",https://www.mountainproject.com/route/111874875/enriques-traverse,2.5,-1,Boulder,V1+,1,18,34.22063,-117.05227
Dodgeball,"Highball Boulder > Highball Area > Snow Valley West > Snow Valley Bouldering > Running Springs Area > San Bernardino Mountains > California",https://www.mountainproject.com/route/112482920/dodgeball,2.0,-1,Boulder,V3,1,30,34.22063,-117.05227
"I Got a Hold on You","Hold on You Boulder > Highball Area > Snow Valley West > Snow Valley Bouldering > Running Springs Area > San Bernardino Mountains > California",https://www.mountainproject.com/route/111874923/i-got-a-hold-on-you,2.0,-1,Boulder,V4,1,8,34.22027,-117.05269
"Problem A","Hold on You Boulder > Highball Area > Snow Valley West > Snow Valley Bouldering > Running Springs Area > San Bernardino Mountains > California",https://www.mountainproject.com/route/111874930/problem-a,2.0,-1,Boulder,V4,1,10,34.22027,-117.05269
"Jalapeño Center","Jalapeño Boulder > Jalapeño Area > Snow Valley West > Snow Valley Bouldering > Running Springs Area > San Bernardino Mountains > California",https://www.mountainproject.com/route/111874981/jalapeno-center,4.0,-1,Boulder,"V0- PG13",1,20,34.22085,-117.05331
"Spice Boy","Jalapeño Boulder > Jalapeño Area > Snow Valley West > Snow Valley Bouldering > Running Springs Area > San Bernardino Mountains > California",https://www.mountainproject.com/route/111875008/spice-boy,2.0,-1,Boulder,"V0 PG13",1,15,34.22085,-117.05331
"Jalapeño Right","Jalapeño Boulder > Jalapeño Area > Snow Valley West > Snow Valley Bouldering > Running Springs Area > San Bernardino Mountains > California",https://www.mountainproject.com/route/111874990/jalapeno-right,4.0,-1,Boulder,"V1 PG13",1,20,34.22085,-117.05331
"Jalapeño Left","Jalapeño Boulder > Jalapeño Area > Snow Valley West > Snow Valley Bouldering > Running Springs Area > San Bernardino Mountains > California",https://www.mountainproject.com/route/111874970/jalapeno-left,3.0,-1,Boulder,"V1+ R",1,20,34.22085,-117.05331
