Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Razor's Edge","Hear My Train A Comin' Boulder > Mount Woodson > North San Diego County > San Diego County > California",https://www.mountainproject.com/route/105792327/razors-edge,2.1,-1,"TR, Boulder","5.10c V0+",1,15,33.00639,-116.96139
"Baby Robbins","Jaws Boulder Area > Mount Woodson > North San Diego County > San Diego County > California",https://www.mountainproject.com/route/105791654/baby-robbins,2.6,-1,"Trad, Boulder","5.9 V0-",1,15,33.0058,-116.96749
Jaws,"Jaws Boulder Area > Mount Woodson > North San Diego County > San Diego County > California",https://www.mountainproject.com/route/105791650/jaws,3.3,-1,"Trad, Boulder","5.11a V1",1,15,33.0058,-116.96749
"Two Move Threadur","Jaws Boulder Area > Mount Woodson > North San Diego County > San Diego County > California",https://www.mountainproject.com/route/118622421/two-move-threadur,2.5,-1,Boulder,V2,1,10,33.0058,-116.96749
"Sausage Sandwich","Jaws Boulder Area > Mount Woodson > North San Diego County > San Diego County > California",https://www.mountainproject.com/route/108042485/sausage-sandwich,3.0,-1,Boulder,V2+,1,15,33.0058,-116.96749
"I Would Die For You","Jaws Boulder Area > Mount Woodson > North San Diego County > San Diego County > California",https://www.mountainproject.com/route/105795962/i-would-die-for-you,2.4,-1,"Trad, Boulder","5.12 V5",1,12,33.0058,-116.96749
"The Fake Eppulator","Jaws Boulder Area > Mount Woodson > North San Diego County > San Diego County > California",https://www.mountainproject.com/route/105846414/the-fake-eppulator,3.8,-1,Boulder,V7,1,10,33.0058,-116.96749
"Karl's New Error","Jaws Boulder Area > Mount Woodson > North San Diego County > San Diego County > California",https://www.mountainproject.com/route/107988147/karls-new-error,3.0,-1,Boulder,V7,1,15,33.0058,-116.96749
"Business Is business","Jaws Boulder Area > Mount Woodson > North San Diego County > San Diego County > California",https://www.mountainproject.com/route/108803591/business-is-business,3.2,-1,Boulder,"V8- R",1,25,33.0058,-116.96749
Asylum,"Jaws Boulder Area > Mount Woodson > North San Diego County > San Diego County > California",https://www.mountainproject.com/route/107155958/asylum,4.0,-1,Boulder,V10-,1,16,33.0058,-116.96749
"Tricky Slab","Tower Two Area > Mount Woodson > North San Diego County > San Diego County > California",https://www.mountainproject.com/route/105837157/tricky-slab,1.9,-1,"Trad, Boulder","5.8+ V0",1,15,33.0053,-116.96449
"Slant Crack","Tower Two Area > Mount Woodson > North San Diego County > San Diego County > California",https://www.mountainproject.com/route/105802883/slant-crack,2.3,-1,"Trad, Boulder","5.9 V0",1,10,33.0053,-116.96449
Fangbanger,"Tower Two Area > Mount Woodson > North San Diego County > San Diego County > California",https://www.mountainproject.com/route/117346798/fangbanger,3.0,-1,Boulder,V0,1,12,33.0053,-116.96449
"Television Screen","Tower Two Area > Mount Woodson > North San Diego County > San Diego County > California",https://www.mountainproject.com/route/105802736/television-screen,2.6,-1,"TR, Boulder","5.10b V0+",1,13,33.0053,-116.96449
"Columbo Crack","Tower Two Area > Mount Woodson > North San Diego County > San Diego County > California",https://www.mountainproject.com/route/105837141/columbo-crack,2.5,-1,"Trad, TR, Boulder","5.11d V3",1,15,33.0053,-116.96449
"Head First in the Bushes","Tower Two Area > Mount Woodson > North San Diego County > San Diego County > California",https://www.mountainproject.com/route/107004281/head-first-in-the-bushes,3.3,-1,Boulder,"5.11 V3",1,20,33.0053,-116.96449
Slapstick,"Tower Two Area > Mount Woodson > North San Diego County > San Diego County > California",https://www.mountainproject.com/route/118624636/slapstick,3.0,-1,Boulder,V3,1,12,33.0053,-116.96449
"Death Vomit","Tower Two Area > Mount Woodson > North San Diego County > San Diego County > California",https://www.mountainproject.com/route/107393145/death-vomit,2.5,-1,Boulder,V4,1,14,33.0053,-116.96449
HDTV,"Tower Two Area > Mount Woodson > North San Diego County > San Diego County > California",https://www.mountainproject.com/route/107673554/hdtv,4.0,-1,Boulder,V6,1,,33.0053,-116.96449
"Robbins slab","Robbins Boulder > Mount Woodson > North San Diego County > San Diego County > California",https://www.mountainproject.com/route/108574022/robbins-slab,3.0,-1,Boulder,V4-5,1,,33.0056,-116.96588
"Blue Collar","Poison Oak Boulder Area > Mount Woodson > North San Diego County > San Diego County > California",https://www.mountainproject.com/route/107462118/blue-collar,2.6,-1,Boulder,V1,1,12,33.00759,-116.96769
"Golden Medallion","Poison Oak Boulder Area > Mount Woodson > North San Diego County > San Diego County > California",https://www.mountainproject.com/route/107461482/golden-medallion,2.9,-1,Boulder,V2,1,,33.00759,-116.96769
"Skid Row","Poison Oak Boulder Area > Mount Woodson > North San Diego County > San Diego County > California",https://www.mountainproject.com/route/107993491/skid-row,3.0,-1,Boulder,V3,1,18,33.00759,-116.96769
"Greg's Face","Seminar Wall Area > Mount Woodson > North San Diego County > San Diego County > California",https://www.mountainproject.com/route/108029473/gregs-face,4.0,-1,Boulder,V0+,1,22,33.0066,-116.96539
"Lizard Corner","Seminar Wall Area > Mount Woodson > North San Diego County > San Diego County > California",https://www.mountainproject.com/route/107561338/lizard-corner,2.9,-1,Boulder,V3,1,15,33.0066,-116.96539
