Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"SouthWest Passage","Beach Boulders (aka The Mystic Boulders) > Bernasconi Ridge > Big Rock Area > Inland Empire > California",https://www.mountainproject.com/route/108346258/southwest-passage,3.0,-1,Boulder,"V0 PG13",1,25,33.8423,-117.16396
"Jon's Mantel left","Beach Boulders (aka The Mystic Boulders) > Bernasconi Ridge > Big Rock Area > Inland Empire > California",https://www.mountainproject.com/route/108471783/jons-mantel-left,2.0,-1,Boulder,V1,1,15,33.8423,-117.16396
"Black Spots","Beach Boulders (aka The Mystic Boulders) > Bernasconi Ridge > Big Rock Area > Inland Empire > California",https://www.mountainproject.com/route/108470067/black-spots,2.0,-1,Boulder,V1-2,1,15,33.8423,-117.16396
"Erik's Face","Beach Boulders (aka The Mystic Boulders) > Bernasconi Ridge > Big Rock Area > Inland Empire > California",https://www.mountainproject.com/route/108343583/eriks-face,2.0,-1,Boulder,V2,1,20,33.8423,-117.16396
"Jon's Mantel","Beach Boulders (aka The Mystic Boulders) > Bernasconi Ridge > Big Rock Area > Inland Empire > California",https://www.mountainproject.com/route/108343596/jons-mantel,3.0,-1,Boulder,V3,1,16,33.8423,-117.16396
"Bachar Cracker of Bernasconi","Beach Boulders (aka The Mystic Boulders) > Bernasconi Ridge > Big Rock Area > Inland Empire > California",https://www.mountainproject.com/route/108343605/bachar-cracker-of-bernasconi,3.5,-1,Boulder,V4+,1,20,33.8423,-117.16396
"The North Face Traverse","Big Rock Sport Boulder > Bernasconi Ridge > Big Rock Area > Inland Empire > California",https://www.mountainproject.com/route/108377879/the-north-face-traverse,2.0,-1,Boulder,V2,1,20,33.83217,-117.16711
"Mushroom Traverse","Mushroom Boulders > Bernasconi Ridge > Big Rock Area > Inland Empire > California",https://www.mountainproject.com/route/108470018/mushroom-traverse,4.0,-1,Boulder,V1,1,50,33.83409,-117.16156
Roadrunner.,"Mushroom Boulders > Bernasconi Ridge > Big Rock Area > Inland Empire > California",https://www.mountainproject.com/route/108470043/roadrunner,3.0,-1,Boulder,V3-,1,,33.83409,-117.16156
"B-1 Crack","Mushroom Boulders > Bernasconi Ridge > Big Rock Area > Inland Empire > California",https://www.mountainproject.com/route/108470005/b-1-crack,3.5,-1,Boulder,V4+,1,13,33.83409,-117.16156
"Mandatory Mushroom.","Mushroom Boulders > Bernasconi Ridge > Big Rock Area > Inland Empire > California",https://www.mountainproject.com/route/108470038/mandatory-mushroom,3.0,-1,Boulder,V6,1,15,33.83409,-117.16156
"Drifter Boulder","Drifter Bouldering Area > Bernasconi Ridge > Big Rock Area > Inland Empire > California",https://www.mountainproject.com/route/118827527/drifter-boulder,3.0,-1,Boulder,V2,1,12,33.83007,-117.16706
"Jam out with your clam out","Slab city boulders > Riverside Quarry > Inland Empire > California",https://www.mountainproject.com/route/112431701/jam-out-with-your-clam-out,2.0,-1,Boulder,V1-,1,12,34.01931,-117.41676
"You know Candice?","Slab city boulders > Riverside Quarry > Inland Empire > California",https://www.mountainproject.com/route/112431727/you-know-candice,3.0,-1,Boulder,V3-4,1,16,34.01931,-117.41676
"The Finger Crack","English Smooth Sole Slab > Cross Rock Area > Mount Rubidoux > Inland Empire > California",https://www.mountainproject.com/route/106122932/the-finger-crack,2.3,-1,Boulder,V0,1,,33.9839,-117.39321
Skidder,"English Smooth Sole Slab > Cross Rock Area > Mount Rubidoux > Inland Empire > California",https://www.mountainproject.com/route/107100241/skidder,2.5,-1,Boulder,V3,1,15,33.9839,-117.39321
